mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.02496018409729004,0.004108915198373891,0.003667402267456055,0.0002969107042458124,relu,0.001,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.0,0.0,0.36363636363636365,0.4,0.3076923076923077,0.21426573426573428,0.17740176818144976,31,0.18604651162790697,0.21739130434782608,0.09523809523809523,0.43636363636363634,0.1,0.20700790951549294,0.12417280588773524,SMA20_50
0.027269458770751952,0.004784725097598123,0.0037540435791015626,0.000810000371105286,relu,0.001,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.47058823529411764,0.42857142857142855,0.6666666666666666,0.7368421052631579,0.75,0.6105336871590741,0.13509298526407865,7,0.7792207792207793,0.5797101449275363,0.7415730337078652,0.5373134328358209,0.735632183908046,0.6746899149200095,0.0969612993490878,SMA20_50
0.03687238693237305,0.01255933983147785,0.0036018848419189452,0.0005728219715039112,relu,0.01,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.0,0.2,0.16666666666666666,0.0,0.15384615384615385,0.1041025641025641,0.08632461707692642,34,0.0,0.2857142857142857,0.2222222222222222,0.0,0.0,0.10158730158730159,0.1260281475636775,SMA20_50
0.034235477447509766,0.021573974232800917,0.0032941341400146485,0.00013316744613930435,relu,0.01,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.2857142857142857,0.2,0.3333333333333333,0.2857142857142857,0.6,0.340952380952381,0.13647987899179317,25,0.27450980392156865,0.2857142857142857,0.5084745762711864,0.5538461538461539,0.6,0.44450896395063894,0.13736021781598234,SMA20_50
0.023730134963989256,0.0024020959085682796,0.0031997203826904298,0.00018645824314183083,relu,0.01,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.75,0.5882352941176471,0.6363636363636364,0.6956521739130435,0.5714285714285714,0.6483359351645797,0.06670018608342283,1,0.6265060240963856,0.6666666666666666,0.6511627906976745,0.6190476190476191,0.6666666666666666,0.6460099534350024,0.01993650957509282,SMA20_50
0.026421213150024415,0.0059108206314852,0.008120012283325196,0.004495917561008904,relu,0.01,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.631578947368421,0.375,0.7272727272727273,0.6363636363636364,0.5263157894736842,0.5793062200956938,0.12035870664074899,13,0.7567567567567568,0.647887323943662,0.6024096385542169,0.6301369863013698,0.7733333333333333,0.6821048077778677,0.06945267169506804,SMA20_50
0.04643993377685547,0.013038693454102218,0.007768774032592773,0.005436593593251999,relu,0.01,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.0,0.0,0.36363636363636365,0.4,0.3076923076923077,0.21426573426573428,0.17740176818144976,31,0.18604651162790697,0.21739130434782608,0.09523809523809523,0.43636363636363634,0.1,0.20700790951549294,0.12417280588773524,SMA20_50
0.03002133369445801,0.004968506088122574,0.0036316394805908205,0.000525472847819822,relu,0.01,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.47058823529411764,0.42857142857142855,0.6666666666666666,0.7368421052631579,0.75,0.6105336871590741,0.13509298526407865,7,0.759493670886076,0.5797101449275363,0.7333333333333333,0.5373134328358209,0.735632183908046,0.6690965531781625,0.09174062759577922,SMA20_50
0.022978973388671876,0.0037418727607337826,0.003299999237060547,4.544245608813911e-05,tanh,0.0001,"(32,)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.5555555555555556,0.375,0.5263157894736842,0.4,0.64,0.49937426900584797,0.0989969523089721,19,0.4657534246575342,0.4722222222222222,0.5135135135135135,0.5066666666666667,0.5945945945945946,0.5105500843309063,0.045963264206217325,SMA20_50
0.025916337966918945,0.0034486743314785075,0.004067659378051758,0.001106890723892793,tanh,0.0001,"(32,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.5333333333333333,0.6666666666666666,0.5555555555555556,0.6,0.5833333333333334,0.5877777777777778,0.045596187841518185,12,0.6493506493506493,0.7160493827160493,0.7792207792207793,0.7160493827160493,0.5555555555555556,0.6832451499118166,0.07591709488140001,SMA20_50
